Agatha Christie
Alan Bradley
Andrew Vachss
Arthur Conan Doyle
Barry Eisler
Colin Harrison
Daniel Silva
Dashiell Hammett
David Baldacci
Dennis Lehane
Elmore Leonard
Gillian Flynn
Greg Iles
Harlan Coben
J. D. Robb
James Ellroy
Jeffrey Deaver
Jeff Lindsay
Jim Thompson
Jo Nesbo
John Grisham
John Hart
John Sandford
Jonathan Kellerman
Karin Slaughter
Laura Lippman
Lee Child
M. C. Beaton
Meg Gardiner
Michael Connelly
Mickey Spillane
Patricia Highsmith
Raymond Chandler
Robert Crais
Ross MacDonald
Simon Beckett
Stephen White
Stieg Larsson
Tom Coffey
